item_name	detected_path	type	size	git_remote	git_commit	git_branch	archive_hash	usable	duplicate	selected_copy	notes
IsaacLab-v2.1.0	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0	git_repo	109964	https://github.com/isaac-sim/IsaacLab.git	21f7136325136ca3f6ca4e0a8125edffe5c24f7e			unknown	no	yes	isaaclab
rsl_rl	/mnt/infini-data/test/BeyondMimic/download/dependencies/rsl_rl	git_repo	35648	https://github.com/leggedrobotics/rsl_rl.git	016c7ede710e358b7d6c205642e2540804d6281f	main		unknown	no	yes	rsl_rl
unitree_bringup	/mnt/infini-data/test/BeyondMimic/download/dependencies/unitree_bringup	git_repo	14730	https://github.com/qiayuanl/unitree_bringup.git	1b2c83dd846e92eee5b070e9551b6845257b0785	master		unknown	no	yes	unitree
unitree_buildfarm	/mnt/infini-data/test/BeyondMimic/download/dependencies/unitree_buildfarm	git_repo	8207	https://github.com/qiayuanl/unitree_buildfarm.git	847492ee91d7952992ebe0569e472e985b1b93dc	master		unknown	no	yes	unitree
LAFAN1_Retargeting_Dataset	/mnt/infini-data/test/BeyondMimic/download/official/LAFAN1_Retargeting_Dataset	git_repo	47273	https://huggingface.co/datasets/lvhaidong/LAFAN1_Retargeting_Dataset.git	ce1572906efe6157840e8474d5a0d7aa87481e74	main		unknown	no	yes	lafan
motion_tracking_controller	/mnt/infini-data/test/BeyondMimic/download/official/motion_tracking_controller	git_repo	28872	https://github.com/HybridRobotics/motion_tracking_controller.git	cbdb4a80d5ea506b2045bdd39cdfb4058084aeb4	main		unknown	no	yes	motion_tracking_controller
ubisoft-laforge-animation-dataset	/mnt/infini-data/test/BeyondMimic/download/official/ubisoft-laforge-animation-dataset	git_repo	46781	https://github.com/ubisoft/ubisoft-laforge-animation-dataset.git	94084601bacdf9cc3764b5c73daaeccae6035fac	master		unknown	no	yes	
whole_body_tracking	/mnt/infini-data/test/BeyondMimic/download/official/whole_body_tracking	git_repo	26137	https://github.com/HybridRobotics/whole_body_tracking.git	cd65172032893724b445448818c34165846d847d	main		unknown	no	yes	whole_body_tracking
ASAP	/mnt/infini-data/test/BeyondMimic/download/reference_code/ASAP	git_repo	49797	https://github.com/LeCAR-Lab/ASAP.git	df5320cc47dd8cad97961bdfabfe402dd62ad999	main		unknown	no	yes	asap
GMR	/mnt/infini-data/test/BeyondMimic/download/reference_code/GMR	git_repo	60823	https://github.com/YanjieZe/GMR.git	bb1bbe40774794fceb2a7c579a3464a28e68c844	master		unknown	no	yes	gmr
PBHC	/mnt/infini-data/test/BeyondMimic/download/reference_code/PBHC	git_repo	2804130	https://github.com/TeleHuman/PBHC.git	bf58dcbed1bef6179aed8e3ba549ec0ae7ffa765	main		unknown	no	yes	pbhc
diffuser	/mnt/infini-data/test/BeyondMimic/download/reference_code/diffuser	git_repo	57491	https://github.com/jannerm/diffuser.git	7ea422860cc0106e5ca5949d980f04b799d5462c	main		unknown	no	yes	diffuser
diffusion-motion-inbetweening	/mnt/infini-data/test/BeyondMimic/download/reference_code/diffusion-motion-inbetweening	git_repo	67868	https://github.com/setarehc/diffusion-motion-inbetweening.git	0c58473066ef582b9464a66d5542e0d1b6ae66c8	main		unknown	no	yes	
guided-motion-diffusion	/mnt/infini-data/test/BeyondMimic/download/reference_code/guided-motion-diffusion	git_repo	73151	https://github.com/korrawe/guided-motion-diffusion.git	f29ef568223f71f74cdc381990f26b55a6ce5dd3	main		unknown	no	yes	guided-motion-diffusion
latent-diffusion	/mnt/infini-data/test/BeyondMimic/download/reference_code/latent-diffusion	git_repo	92028	https://github.com/CompVis/latent-diffusion.git	a506df5756472e2ebaf9078affdde2c4f1502cd4	main		unknown	no	yes	latent-diffusion
legged_template_controller	/mnt/infini-data/test/BeyondMimic/download/reference_code/legged_template_controller	git_repo	18773	https://github.com/qiayuanl/legged_template_controller.git	a657b52cd9e6aaa48144736a04f0de897f0c16b5	master		unknown	no	yes	
mjlab	/mnt/infini-data/test/BeyondMimic/download/reference_code/mjlab	git_repo	964130	https://github.com/mujocolab/mjlab.git	0cdc56246999409b83622764f5b38edb660cf16e	main		unknown	no	yes	mjlab
motion-diffusion-model	/mnt/infini-data/test/BeyondMimic/download/reference_code/motion-diffusion-model	git_repo	86910	https://github.com/guytevet/motion-diffusion-model.git	ef8edce6a53c6ab19e53b4d4dcf15bc0bc60a778	main		unknown	no	yes	motion-diffusion-model
unitree_rl_lab	/mnt/infini-data/test/BeyondMimic/download/reference_code/unitree_rl_lab	git_repo	55403	https://github.com/unitreerobotics/unitree_rl_lab.git	4960b84732b0c2ec593dccbfe963fda1bcd7b1e3	main		unknown	no	yes	unitree
unitree_rl_mjlab	/mnt/infini-data/test/BeyondMimic/download/reference_code/unitree_rl_mjlab	git_repo	56073	https://github.com/unitreerobotics/unitree_rl_mjlab.git	1425b15f73bd4095f0df53709d7c389c3eb9e790	main		unknown	no	yes	unitree,mjlab
bug.md	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/.github/ISSUE_TEMPLATE/bug.md	documentation	1584					unknown	no	yes	isaaclab
proposal.md	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/.github/ISSUE_TEMPLATE/proposal.md	documentation	1088					unknown	no	yes	isaaclab
question.md	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/.github/ISSUE_TEMPLATE/question.md	documentation	597					unknown	no	yes	isaaclab
LICENSE_HEADER.txt	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/.github/LICENSE_HEADER.txt	documentation	123					unknown	yes	yes	isaaclab; duplicate_name
LICENSE_HEADER_MIMIC.txt	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/.github/LICENSE_HEADER_MIMIC.txt	documentation	121					unknown	no	yes	isaaclab
PULL_REQUEST_TEMPLATE.md	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/.github/PULL_REQUEST_TEMPLATE.md	documentation	2133					unknown	no	yes	isaaclab
extensions.json	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/.vscode/extensions.json	data_or_checkpoint	321					unknown	yes	yes	isaaclab; duplicate_name
tasks.json	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/.vscode/tasks.json	data_or_checkpoint	950					unknown	yes	yes	isaaclab; duplicate_name
launch.template.json	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/.vscode/tools/launch.template.json	data_or_checkpoint	1398					unknown	yes	no	isaaclab; duplicate_name
settings.template.json	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/.vscode/tools/settings.template.json	data_or_checkpoint	2638					unknown	yes	yes	isaaclab; duplicate_name
CONTRIBUTING.md	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/CONTRIBUTING.md	documentation	406					unknown	yes	no	isaaclab; duplicate_name
CONTRIBUTORS.md	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/CONTRIBUTORS.md	documentation	2183					unknown	yes	yes	isaaclab; duplicate_name
README.md	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/README.md	documentation	6906					unknown	yes	no	isaaclab; duplicate_name
SECURITY.md	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/SECURITY.md	documentation	1746					unknown	no	yes	isaaclab
README.md	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/docs/README.md	documentation	1955					unknown	yes	no	isaaclab; duplicate_name
anymal_b-license.txt	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/docs/licenses/assets/anymal_b-license.txt	documentation	1506					unknown	no	yes	isaaclab
anymal_c-license.txt	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/docs/licenses/assets/anymal_c-license.txt	documentation	1506					unknown	no	yes	isaaclab
franka-license.txt	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/docs/licenses/assets/franka-license.txt	documentation	10349					unknown	no	yes	isaaclab
kinova-license.txt	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/docs/licenses/assets/kinova-license.txt	documentation	5054					unknown	no	yes	isaaclab
robotiq-license.txt	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/docs/licenses/assets/robotiq-license.txt	documentation	1320					unknown	no	yes	isaaclab
unitree-license.txt	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/docs/licenses/assets/unitree-license.txt	documentation	1588					unknown	no	yes	isaaclab,unitree
InquirerPy-license.txt	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/docs/licenses/dependencies/InquirerPy-license.txt	documentation	1090					unknown	no	yes	isaaclab
anytree-license.txt	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/docs/licenses/dependencies/anytree-license.txt	documentation	11558					unknown	no	yes	isaaclab
assimp-license.txt	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/docs/licenses/dependencies/assimp-license.txt	documentation	3869					unknown	no	yes	isaaclab
autodocsumm-license.txt	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/docs/licenses/dependencies/autodocsumm-license.txt	documentation	11558					unknown	no	yes	isaaclab
black-license.txt	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/docs/licenses/dependencies/black-license.txt	documentation	1101					unknown	no	yes	isaaclab
boost-license.txt	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/docs/licenses/dependencies/boost-license.txt	documentation	1361					unknown	no	yes	isaaclab
cmeel-license.txt	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/docs/licenses/dependencies/cmeel-license.txt	documentation	1349					unknown	no	yes	isaaclab
codespell-license.txt	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/docs/licenses/dependencies/codespell-license.txt	documentation	18431					unknown	yes	yes	isaaclab; duplicate_name
console-bridge-license.txt	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/docs/licenses/dependencies/console-bridge-license.txt	documentation	1484					unknown	no	yes	isaaclab
dex-retargeting-license.txt	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/docs/licenses/dependencies/dex-retargeting-license.txt	documentation	1097					unknown	no	yes	isaaclab
eigenpy-license.txt	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/docs/licenses/dependencies/eigenpy-license.txt	documentation	1376					unknown	no	yes	isaaclab
einops-license.txt	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/docs/licenses/dependencies/einops-license.txt	documentation	1094					unknown	no	yes	isaaclab
flake8-license.txt	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/docs/licenses/dependencies/flake8-license.txt	documentation	1194					unknown	no	yes	isaaclab
flatdict-license.txt	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/docs/licenses/dependencies/flatdict-license.txt	documentation	1525					unknown	no	yes	isaaclab
gym-license.txt	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/docs/licenses/dependencies/gym-license.txt	documentation	1492					unknown	no	yes	isaaclab
gymnasium-license.txt	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/docs/licenses/dependencies/gymnasium-license.txt	documentation	1126					unknown	no	yes	isaaclab
h5py-license.txt	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/docs/licenses/dependencies/h5py-license.txt	documentation	1550					unknown	no	yes	isaaclab
hidapi-license.txt	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/docs/licenses/dependencies/hidapi-license.txt	documentation	1560					unknown	no	yes	isaaclab
hpp-fcl-license.txt	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/docs/licenses/dependencies/hpp-fcl-license.txt	documentation	1744					unknown	no	yes	isaaclab
hydra-license.txt	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/docs/licenses/dependencies/hydra-license.txt	documentation	1107					unknown	no	yes	isaaclab
ipywidgets-license.txt	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/docs/licenses/dependencies/ipywidgets-license.txt	documentation	1540					unknown	no	yes	isaaclab
isaacsim-license.txt	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/docs/licenses/dependencies/isaacsim-license.txt	documentation	819					unknown	no	yes	isaaclab
isort-license.txt	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/docs/licenses/dependencies/isort-license.txt	documentation	1110					unknown	no	yes	isaaclab
legged-gym-license.txt	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/docs/licenses/dependencies/legged-gym-license.txt	documentation	1761					unknown	no	yes	isaaclab
matplotlib-license.txt	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/docs/licenses/dependencies/matplotlib-license.txt	documentation	4930					unknown	no	yes	isaaclab
moviepy-license.txt	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/docs/licenses/dependencies/moviepy-license.txt	documentation	1093					unknown	no	yes	isaaclab
myst-parser-license.txt	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/docs/licenses/dependencies/myst-parser-license.txt	documentation	1099					unknown	no	yes	isaaclab
nlopt-license.txt	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/docs/licenses/dependencies/nlopt-license.txt	documentation	2120					unknown	no	yes	isaaclab
numpy-license.txt	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/docs/licenses/dependencies/numpy-license.txt	documentation	1573					unknown	yes	yes	isaaclab; duplicate_name
octomap-license.txt	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/docs/licenses/dependencies/octomap-license.txt	documentation	1727					unknown	no	yes	isaaclab
onnx-license.txt	/mnt/infini-data/test/BeyondMimic/download/dependencies/IsaacLab-v2.1.0/docs/licenses/dependencies/onnx-license.txt	documentation	11560					unknown	yes	yes	isaaclab; duplicate_name
